"No.","2θ (°)","e.s.d.","d (Å)","e.s.d.","高さ (cps)","e.s.d.","FWHM (°)","e.s.d.","積分強度 (cps°)","e.s.d.","積分幅 (°)","e.s.d.","非対称因子","e.s.d.","減衰因子(ηL/mL)","e.s.d.","減衰因子(ηH/mH)","e.s.d.","結晶子サイズ (Å)","e.s.d.","結晶相名","化学式","カード番号","規格化強度","プロファイルタイプ","分布RSD","e.s.d.","格子歪 (%)","配向度","リング因子","βクラスター","カスタムラベル"
1,28.06313,0.00602,3.17705,0.00067,2571.6,215.0,0.1215,0.0135,664.92,37.26,0.2586,0.0361,1.978,0.511,1.550,0.132,1.550,0.227,703.6677,78.0149,"Unknown","","",1.65,分割型擬Voigt関数,-,-,-,-,-,-,-,
2,28.46632,0.00055,3.13296,0.00006,275435.5,2592.4,0.1184,0.0005,40316.18,161.62,0.1464,0.0020,1.862,0.040,0.347,0.007,0.573,0.028,722.8679,3.0329,"Unknown","","",100.00,分割型擬Voigt関数,-,-,-,-,-,-,-,
3,28.77519,0.00828,3.10003,0.00087,2976.2,279.7,0.1943,0.0270,714.88,108.28,0.2402,0.0590,1.862,0.040,0.347,0.007,0.573,0.028,440.8135,61.1462,"Unknown","","",1.77,分割型擬Voigt関数,-,-,-,-,-,-,-,
4,40.63200,0.00084,2.21861,0.00004,86821.2,1332.4,0.1194,0.0008,13973.86,55.60,0.1609,0.0031,1.199,0.037,0.636,0.015,0.671,0.024,740.8604,5.0192,"Unknown","","",34.66,分割型擬Voigt関数,-,-,-,-,-,-,-,
5,50.29054,0.00168,1.81283,0.00006,19260.0,618.4,0.1277,0.0017,3531.60,25.35,0.1834,0.0072,1.065,0.064,0.820,0.033,0.783,0.045,717.7110,9.6269,"Unknown","","",8.76,分割型擬Voigt関数,-,-,-,-,-,-,-,
6,58.74898,0.00268,1.57038,0.00007,18524.3,602.0,0.1163,0.0026,2956.38,40.12,0.1596,0.0074,1.342,0.139,0.600,0.050,0.813,0.092,818.7499,18.1477,"Unknown","","",7.33,分割型擬Voigt関数,-,-,-,-,-,-,-,
7,66.48720,0.00157,1.40514,0.00003,22976.2,662.4,0.1408,0.0016,4763.32,28.02,0.2073,0.0072,1.102,0.057,0.850,0.028,0.870,0.039,704.5799,8.1069,"Unknown","","",11.81,分割型擬Voigt関数,-,-,-,-,-,-,-,
8,73.79152,0.00262,1.28306,0.00004,10979.9,479.2,0.1693,0.0027,2701.64,23.17,0.2461,0.0128,1.093,0.078,0.825,0.040,0.836,0.055,612.8420,9.6445,"Unknown","","",6.70,分割型擬Voigt関数,-,-,-,-,-,-,-,
9,87.76391,0.00516,1.11126,0.00005,2613.2,254.0,0.2052,0.0074,843.89,14.96,0.3229,0.0371,1.887,0.264,0.745,0.072,1.363,0.115,560.8967,20.1117,"Unknown","","",2.09,分割型擬Voigt関数,-,-,-,-,-,-,-,
10,94.58254,0.00313,1.04829,0.00003,5398.7,324.8,0.1821,0.0050,1578.71,23.80,0.2924,0.0220,0.534,0.048,1.489,0.065,0.692,0.070,671.7154,18.3801,"Unknown","","",3.92,分割型擬Voigt関数,-,-,-,-,-,-,-,
