計算データ		加工データ:20240426_CsCl-加工データ		バックグラウンド		ピークバー(1)		
2θ (°)	強度 (cps)	2θ (°)	強度 (cps)	2θ (°)	強度 (cps)	2θ (°)	Y	強度 (cps)
10	0	10	-112.343597412109	10	0	21.66269	0	0
10.0100002288818	0	10.0100002288818	-114.530250549316	10.0100002288818	0	21.66269	0	31354.783203125
10.0200004577637	0	10.0200004577637	-23.3134098052979	10.0200004577637	0	30.76388	0	0
10.0299997329712	0	10.0299997329712	-91.2663192749023	10.0299997329712	0	30.76388	0	116808.8671875
10.039999961853	0	10.039999961853	-64.4004516601563	10.039999961853	0	31.07075	0	0
10.0500001907349	0	10.0500001907349	-116.659721374512	10.0500001907349	0	31.07075	0	1297.9287109375
10.0600004196167	0	10.0600004196167	0.24898687005043	10.0600004196167	0	37.88519	0	0
10.0699996948242	0	10.0699996948242	34.2168273925781	10.0699996948242	0	37.88519	0	17431.0390625
10.0799999237061	0	10.0799999237061	370.309173583984	10.0799999237061	0	38.27788	0	0
10.0900001525879	0	10.0900001525879	205.775100708008	10.0900001525879	0	38.27788	0	443.060516357422
10.1000003814697	0	10.1000003814697	-283.4169921875	10.1000003814697	0	44.00809	0	0
10.1099996566772	0	10.1099996566772	-317.107757568359	10.1099996566772	0	44.00809	0	17738.529296875
10.1199998855591	0	10.1199998855591	-283.165069580078	10.1199998855591	0	49.50587	0	0
10.1300001144409	0	10.1300001144409	-163.789886474609	10.1300001144409	0	49.50587	0	20367.052734375
10.1400003433228	0	10.1400003433228	148.874481201172	10.1400003433228	0	54.58838	0	0
10.1499996185303	0	10.1499996185303	175.223907470703	10.1499996185303	0	54.58838	0	46255.82421875
10.1599998474121	0	10.1599998474121	51.4208488464355	10.1599998474121	0	63.91976	0	0
10.1700000762939	0	10.1700000762939	-5.94683694839478	10.1700000762939	0	63.91976	0	12102.208984375
10.1800003051758	0	10.1800003051758	-146.274078369141	10.1800003051758	0	68.29571	0	0
10.1899995803833	0	10.1899995803833	105.516670227051	10.1899995803833	0	68.29571	0	8861.7333984375
10.1999998092651	0	10.1999998092651	64.9202346801758	10.1999998092651	0	70.20899	0	0
10.210000038147	0	10.210000038147	-24.5746097564697	10.210000038147	0	70.20899	0	53.7148971557617
10.2200002670288	0	10.2200002670288	-11.8516693115234	10.2200002670288	0	72.22026	0	0
10.2299995422363	0	10.2299995422363	-178.962448120117	10.2299995422363	0	72.22026	0	300.520233154297
10.2399997711182	0	10.2399997711182	-141.675994873047	10.2399997711182	0	72.53265	0	0
10.25	0	10.25	78.6943740844727	10.25	0	72.53265	0	13602.384765625
10.2600002288818	0	10.2600002288818	127.255088806152	10.2600002288818	0	72.84785	0	0
10.2700004577637	0	10.2700004577637	-108.733238220215	10.2700004577637	0	72.84785	0	396.415740966797
10.2799997329712	0	10.2799997329712	-181.670745849609	10.2799997329712	0	76.68352	0	0
10.289999961853	0	10.289999961853	-2.62215638160706	10.289999961853	0	76.68352	0	4011.72729492188
10.3000001907349	0	10.3000001907349	176.246017456055	10.3000001907349	0	79.28468	0	0
10.3100004196167	0	10.3100004196167	43.0108375549316	10.3100004196167	0	79.28468	0	187.207916259766
10.3199996948242	0	10.3199996948242	24.1537837982178	10.3199996948242	0	80.3828	0	0
10.3299999237061	0	10.3299999237061	-206.28401184082	10.3299999237061	0	80.3828	0	184.475082397461
10.3400001525879	0	10.3400001525879	-155.777221679688	10.3400001525879	0	80.77631	0	0
10.3500003814697	0	10.3500003814697	-245.235305786133	10.3500003814697	0	80.77631	0	3827.47314453125
10.3599996566772	0	10.3599996566772	-267.518402099609	10.3599996566772	0	81.17272	0	0
10.3699998855591	0	10.3699998855591	-13.063422203064	10.3699998855591	0	81.17272	0	180.689361572266
10.3800001144409	0	10.3800001144409	168.813125610352	10.3800001144409	0	82.24894	0	0
10.3900003433228	0	10.3900003433228	-53.996524810791	10.3900003433228	0	82.24894	0	87.25341796875
10.3999996185303	0	10.3999996185303	-401.781280517578	10.3999996185303	0	84.32908	0	0
10.4099998474121	0	10.4099998474121	-123.140037536621	10.4099998474121	0	84.32908	0	245.746002197266
10.4200000762939	0	10.4200000762939	37.2922439575195	10.4200000762939	0	84.78909	0	0
10.4300003051758	0	10.4300003051758	179.029541015625	10.4300003051758	0	84.78909	0	3203.98974609375
10.4399995803833	0	10.4399995803833	-128.751831054688	10.4399995803833	0	88.79487	0	0
10.4499998092651	0	10.4499998092651	92.332893371582	10.4499998092651	0	88.79487	0	15017.5751953125
10.460000038147	0	10.460000038147	65.3089370727539	10.460000038147	0	96.8044	0	0
10.4700002670288	0	10.4700002670288	-150.435165405273	10.4700002670288	0	96.8044	0	1250.34326171875
10.4799995422363	0	10.4799995422363	-81.0058898925781	10.4799995422363	0			
10.4899997711182	0	10.4899997711182	322.939727783203	10.4899997711182	0			
10.5	0	10.5	70.0776290893555	10.5	0			
10.5100002288818	0	10.5100002288818	-57.2260093688965	10.5100002288818	0			
10.5200004577637	0	10.5200004577637	-62.8305397033691	10.5200004577637	0			
10.5299997329712	0	10.5299997329712	-36.5236930847168	10.5299997329712	0			
10.539999961853	0	10.539999961853	-125.42586517334	10.539999961853	0			
10.5500001907349	0	10.5500001907349	8.15876960754395	10.5500001907349	0			
10.5600004196167	0	10.5600004196167	249.007049560547	10.5600004196167	0			
10.5699996948242	0	10.5699996948242	228.404144287109	10.5699996948242	0			
10.5799999237061	0	10.5799999237061	-86.8429260253906	10.5799999237061	0			
10.5900001525879	0	10.5900001525879	-196.600830078125	10.5900001525879	0			
10.6000003814697	0	10.6000003814697	-61.4761581420898	10.6000003814697	0			
10.6099996566772	0	10.6099996566772	82.2605209350586	10.6099996566772	0			
10.6199998855591	0	10.6199998855591	302.944061279297	10.6199998855591	0			
10.6300001144409	0	10.6300001144409	-183.621963500977	10.6300001144409	0			
10.6400003433228	0	10.6400003433228	-392.470581054688	10.6400003433228	0			
10.6499996185303	0	10.6499996185303	-33.4934616088867	10.6499996185303	0			
10.6599998474121	0	10.6599998474121	337.863708496094	10.6599998474121	0			
10.6700000762939	0	10.6700000762939	300.305267333984	10.6700000762939	0			
10.6800003051758	0	10.6800003051758	-52.6760902404785	10.6800003051758	0			
10.6899995803833	0	10.6899995803833	-241.366836547852	10.6899995803833	0			
10.6999998092651	0	10.6999998092651	30.3903312683105	10.6999998092651	0			
10.710000038147	0	10.710000038147	183.492568969727	10.710000038147	0			
10.7200002670288	0	10.7200002670288	-9.14117050170898	10.7200002670288	0			
10.7299995422363	0	10.7299995422363	155.981475830078	10.7299995422363	0			
10.7399997711182	0	10.7399997711182	256.438079833984	10.7399997711182	0			
10.75	0	10.75	-40.586368560791	10.75	0			
10.7600002288818	0	10.7600002288818	-285.045806884766	10.7600002288818	0			
10.7700004577637	0	10.7700004577637	-247.039306640625	10.7700004577637	0			
10.7799997329712	0	10.7799997329712	-148.774749755859	10.7799997329712	0			
10.789999961853	0	10.789999961853	-51.3383865356445	10.789999961853	0			
10.8000001907349	0	10.8000001907349	134.772735595703	10.8000001907349	0			
10.8100004196167	0	10.8100004196167	145.690780639648	10.8100004196167	0			
10.8199996948242	0	10.8199996948242	-160.716491699219	10.8199996948242	0			
10.8299999237061	0	10.8299999237061	-169.163925170898	10.8299999237061	0			
10.8400001525879	0	10.8400001525879	-32.0343704223633	10.8400001525879	0			
10.8500003814697	0	10.8500003814697	236.217346191406	10.8500003814697	0			
10.8599996566772	0	10.8599996566772	220.026794433594	10.8599996566772	0			
10.8699998855591	0	10.8699998855591	3.7318971157074	10.8699998855591	0			
10.8800001144409	0	10.8800001144409	-85.0592727661133	10.8800001144409	0			
10.8900003433228	0	10.8900003433228	-253.531997680664	10.8900003433228	0			
