ｻﾝﾌﾟﾙ:	Ag_200_900__05%R.txt
ﾌｧｲﾙ名:	Ag_200_900__05%R.txt.UDS
分析日時:	'14:38:18, 09/27/2024
ｵﾍﾟﾚｰﾀ:	OB
ｺﾒﾝﾄ:	'

光度計
ﾓﾃﾞﾙ:	U-3900形分光光度計
ｼﾘｱﾙ No.:	'3004-010
ROM Ver.:	2J25300 07

装置条件
測定ﾓｰﾄﾞ:	波長ｽｷｬﾝ
ﾃﾞｰﾀﾓｰﾄﾞ:	%R
開始波長:	900.00 nm
終了波長:	200.00 nm
ｽｷｬﾝｽﾋﾟｰﾄﾞ:	60 nm/min
ｻﾝﾌﾟﾘﾝｸﾞ間隔:	0.10 nm
初期待ち時間:	0 s
繰り返し周期:	0.0 min
測定回数:	1
測定前ｵｰﾄｾﾞﾛ:	Off
ｽﾘｯﾄ:	0.5 nm
ﾎﾄﾏﾙ電圧:	自動制御
光源切換ﾓｰﾄﾞ:	自動切換
光源切換波長:	340.00 nm
ﾍﾞｰｽﾗｲﾝ設定:	ﾕｰｻﾞ 1
高分解能測定:	Off
D2ﾗﾝﾌﾟ:	On
WIﾗﾝﾌﾟ:	On
R/S反転:	Off

ﾋﾟｰｸ検出
検出方法:	Rectangular
感度:	1
しきい値:	0.0100

ﾋﾟｰｸ
ﾋﾟｰｸ No.	開始 (nm)	ﾋﾟｰｸ (nm)	終了 (nm)	高さ (%R)	ﾊﾞﾚｰ (nm)	ﾊﾞﾚｰ (%R)
1	900.00	898.90	898.20	84.290	898.20	87.344
2	898.20	897.40	896.80	84.590	896.80	85.651
3	896.80	896.40	895.30	82.750	895.30	84.986
4	895.30	894.70	894.40	81.018	894.40	85.708
5	894.40	893.80	893.10	82.077	893.10	86.590
6	893.10	891.90	891.40	83.185	891.40	86.241
7	891.40	890.80	889.60	84.759	889.60	87.929
8	889.60	888.40	887.90	82.432	887.90	84.952
9	887.90	887.40	886.50	80.069	886.50	86.149
10	886.50	885.80	885.10	81.892	885.10	86.778
11	885.10	884.70	883.60	82.746	883.60	86.342
12	883.60	883.30	882.70	85.059	882.70	86.789
13	882.70	882.30	881.00	81.881	881.00	87.855
14	881.00	879.60	879.10	81.988	879.10	86.946
15	879.10	878.60	878.00	81.808	878.00	88.082
16	878.00	877.40	876.40	84.840	876.40	88.041
17	876.40	875.20	873.90	82.012	873.90	88.358
18	873.90	873.20	873.00	84.812	873.00	86.454
19	873.00	872.40	872.10	85.049	872.10	87.114
20	872.10	871.50	871.20	83.424	871.20	86.191
21	871.20	870.60	869.80	82.885	869.80	85.978
22	869.80	868.00	867.10	82.243	867.10	88.347
23	867.10	866.60	865.10	84.552	865.10	89.511
24	865.10	864.60	864.20	85.000	864.20	87.814
25	864.20	863.90	863.30	85.013	863.30	87.530
26	863.30	862.60	862.10	83.683	862.10	87.076
27	862.10	860.50	859.70	83.460	859.70	88.219
28	859.70	859.10	858.70	83.563	858.70	88.931
