ｻﾝﾌﾟﾙ:	Au_200_900__05%R.txt
ﾌｧｲﾙ名:	Au_200_900__05%R.txt.UDS
分析日時:	'14:22:54, 09/27/2024
ｵﾍﾟﾚｰﾀ:	OB
ｺﾒﾝﾄ:	'

光度計
ﾓﾃﾞﾙ:	U-3900形分光光度計
ｼﾘｱﾙ No.:	'3004-010
ROM Ver.:	2J25300 07

装置条件
測定ﾓｰﾄﾞ:	波長ｽｷｬﾝ
ﾃﾞｰﾀﾓｰﾄﾞ:	%R
開始波長:	900.00 nm
終了波長:	200.00 nm
ｽｷｬﾝｽﾋﾟｰﾄﾞ:	60 nm/min
ｻﾝﾌﾟﾘﾝｸﾞ間隔:	0.10 nm
初期待ち時間:	0 s
繰り返し周期:	0.0 min
測定回数:	1
測定前ｵｰﾄｾﾞﾛ:	Off
ｽﾘｯﾄ:	0.5 nm
ﾎﾄﾏﾙ電圧:	自動制御
光源切換ﾓｰﾄﾞ:	自動切換
光源切換波長:	340.00 nm
ﾍﾞｰｽﾗｲﾝ設定:	ﾕｰｻﾞ 1
高分解能測定:	Off
D2ﾗﾝﾌﾟ:	On
WIﾗﾝﾌﾟ:	On
R/S反転:	Off

ﾋﾟｰｸ検出
検出方法:	Rectangular
感度:	1
しきい値:	0.0100

ﾋﾟｰｸ
ﾋﾟｰｸ No.	開始 (nm)	ﾋﾟｰｸ (nm)	終了 (nm)	高さ (%R)	ﾊﾞﾚｰ (nm)	ﾊﾞﾚｰ (%R)
1	897.80	896.90	895.80	89.164	895.80	92.728
2	895.80	895.40	894.70	87.933	894.70	92.862
3	894.70	894.00	892.80	88.377	892.80	94.455
4	892.80	892.20	891.70	90.598	891.70	92.737
5	891.70	890.70	890.10	89.028	890.10	93.479
6	890.10	889.20	888.70	89.623	888.70	93.803
7	888.70	888.20	887.80	88.342	887.80	93.345
8	887.80	887.40	886.50	86.601	886.50	94.413
9	886.50	885.80	885.10	87.305	885.10	93.594
10	885.10	883.90	883.00	90.225	883.00	93.598
11	883.00	882.30	881.80	89.866	881.80	93.245
12	881.80	881.50	881.00	90.947	881.00	94.515
13	881.00	880.40	879.10	88.570	879.10	94.108
14	879.10	878.60	877.90	91.533	877.90	94.310
15	877.90	875.70	874.80	89.684	874.80	94.506
16	874.80	874.30	873.90	92.281	873.90	95.676
17	873.90	872.80	872.50	91.425	872.50	92.958
18	872.50	872.10	871.20	90.387	871.20	92.945
19	871.20	870.60	869.50	89.671	869.50	94.838
20	869.50	868.90	868.40	89.450	868.40	91.643
21	868.40	868.10	866.20	89.237	866.20	96.231
22	866.20	865.00	864.50	92.620	864.50	95.693
23	864.50	863.90	863.50	92.210	863.50	94.553
24	863.50	863.00	862.30	89.712	862.30	95.444
25	862.30	861.10	860.60	89.970	860.60	93.089
26	860.60	860.10	859.70	90.663	859.70	96.586
27	859.70	859.30	858.80	91.440	858.80	96.049
28	858.80	857.00	855.70	89.758	855.70	95.270
29	855.70	854.90	854.40	91.439	854.40	95.356
30	854.40	853.20	852.70	92.017	852.70	94.772
31	852.70	851.70	851.30	92.073	851.30	94.407
32	851.30	850.70	850.20	91.197	850.20	93.635
33	850.20	849.30	848.70	91.204	848.70	94.441
34	848.70	848.30	847.60	92.478	847.60	96.953
35	847.60	846.00	845.70	90.495	845.70	94.803
36	845.70	845.30	844.00	92.516	844.00	94.730
37	844.00	843.40	842.80	92.160	842.80	96.474
38	842.80	842.30	842.00	92.111	842.00	95.080
39	842.00	841.40	841.00	91.723	841.00	94.126
40	841.00	840.70	839.10	92.230	839.10	95.919
41	839.10	837.40	836.90	93.130	836.90	96.042
42	836.90	836.20	835.60	93.678	835.60	95.870
43	835.60	835.10	834.30	93.279	834.30	97.063
44	834.30	833.10	832.70	93.593	832.70	97.261
45	832.70	832.00	830.30	92.057	830.30	95.742
46	830.30	830.00	829.20	93.456	829.20	97.220
47	829.20	828.60	828.20	94.346	828.20	96.476
48	828.20	827.60	827.00	93.339	827.00	96.210
49	827.00	826.40	825.30	93.373	825.30	97.904
50	825.30	824.70	824.30	94.429	824.30	96.774
51	824.30	823.80	823.10	94.821	823.10	96.372
52	823.10	822.70	822.30	94.353	822.30	95.994
53	822.30	821.90	820.60	93.183	820.60	98.025
54	820.60	818.90	818.20	93.606	818.20	95.644
55	818.20	817.90	816.80	94.467	816.80	97.054
56	816.80	816.10	814.10	93.101	814.10	96.726
57	814.10	813.70	813.20	94.962	813.20	96.878
58	813.20	812.80	812.40	95.431	812.40	97.216
59	812.40	812.00	811.70	96.105	811.70	97.265
60	811.70	811.10	809.20	93.964	809.20	97.249
61	809.20	808.80	808.30	94.484	808.30	97.333
62	808.30	808.00	807.00	96.114	807.00	97.331
63	807.00	806.40	804.40	94.728	804.40	97.209
64	804.40	803.90	803.30	95.108	803.30	98.425
65	803.30	802.80	802.30	95.420	802.30	98.130
66	802.30	801.80	801.10	96.509	801.10	97.682
67	801.10	800.00	799.30	95.059	799.30	97.583
68	799.30	796.90	796.20	95.807	796.20	97.358
69	796.20	795.90	794.60	96.307	794.60	97.392
70	794.60	793.40	793.10	96.522	793.10	97.818
71	793.10	792.50	792.00	96.047	792.00	97.974
72	792.00	791.40	790.60	96.136	790.60	97.653
73	790.60	790.30	789.90	96.680	789.90	97.883
74	789.90	789.50	788.80	96.085	788.80	97.485
75	788.80	788.20	787.90	96.730	787.90	97.887
76	787.90	787.40	786.60	96.360	786.60	98.196
77	786.60	785.60	785.30	97.134	785.30	98.031
78	785.30	784.70	783.80	96.180	783.80	98.324
79	783.80	783.00	782.10	96.712	782.10	97.610
80	782.10	781.00	779.90	96.857	779.90	98.323
81	779.90	779.30	778.90	96.415	778.90	98.201
82	778.90	778.40	776.90	96.862	776.90	98.101
83	776.90	776.40	776.10	97.235	776.10	98.191
84	776.10	775.70	774.40	96.861	774.40	98.664
85	774.40	773.40	772.80	97.107	772.80	98.446
86	772.80	772.40	771.60	97.653	771.60	98.345
87	771.60	771.10	770.40	97.390	770.40	99.080
88	770.40	769.70	769.20	96.738	769.20	98.324
89	769.20	768.60	768.20	96.903	768.20	98.440
90	768.20	767.50	766.20	96.605	766.20	98.330
91	766.20	765.70	764.10	97.205	764.10	98.743
92	764.10	763.40	762.50	97.647	762.50	98.556
93	762.50	761.40	761.00	97.119	761.00	98.343
94	761.00	760.30	759.00	97.387	759.00	98.555
95	759.00	757.60	757.30	97.103	757.30	98.144
96	757.30	756.60	755.90	96.975	755.90	98.284
97	755.90	755.40	754.80	97.231	754.80	98.355
98	754.80	754.40	753.90	97.524	753.90	98.578
99	753.90	752.70	751.30	96.956	751.30	98.624
100	751.30	750.70	750.20	97.773	750.20	98.395
101	750.20	748.90	747.90	97.652	747.90	98.570
102	747.90	747.50	747.20	98.044	747.20	98.853
103	747.20	746.60	746.30	98.050	746.30	99.119
104	746.30	745.90	745.40	97.904	745.40	99.059
105	745.40	744.80	743.50	98.375	743.50	99.355
106	743.50	742.80	742.00	98.843	742.00	99.844
107	742.00	741.50	741.00	98.122	741.00	99.182
108	741.00	739.20	738.50	97.771	738.50	98.770
109	738.50	736.40	735.80	97.503	735.80	99.054
110	735.80	735.40	734.80	98.028	734.80	98.305
111	734.80	734.10	733.50	98.131	733.50	98.681
112	733.50	732.70	731.20	97.537	731.20	98.321
113	731.20	730.60	730.20	97.942	730.20	98.325
114	730.20	729.90	728.80	97.739	728.80	99.095
115	728.80	726.90	725.00	97.131	725.00	98.055
116	725.00	724.50	724.00	97.336	724.00	98.692
117	724.00	723.30	722.10	97.705	722.10	98.686
118	722.10	720.40	719.70	97.653	719.70	98.576
119	719.70	719.00	718.70	97.934	718.70	98.471
120	718.70	718.20	717.40	98.037	717.40	98.436
121	717.40	717.10	716.70	97.992	716.70	98.540
122	716.70	716.10	713.70	97.471	713.70	98.268
123	713.70	712.80	712.30	97.564	712.30	97.988
124	712.30	711.90	710.60	97.415	710.60	98.375
125	710.60	709.90	709.40	97.549	709.40	98.088
126	709.40	708.10	707.60	97.533	707.60	98.197
127	707.60	707.10	706.60	97.316	706.60	98.287
128	706.60	706.20	705.70	97.404	705.70	98.092
129	705.70	705.30	704.90	97.669	704.90	98.096
130	704.90	704.20	703.00	97.437	703.00	98.159
131	703.00	702.30	701.90	97.571	701.90	98.259
