ｻﾝﾌﾟﾙ:	Cds_550_500__05%T.txt
ﾌｧｲﾙ名:	Cds_550_500__05%T.txt.UDS
分析日時:	'13:46:06, 09/27/2024
ｵﾍﾟﾚｰﾀ:	OB
ｺﾒﾝﾄ:	'

光度計
ﾓﾃﾞﾙ:	U-3900形分光光度計
ｼﾘｱﾙ No.:	'3004-010
ROM Ver.:	2J25300 07

装置条件
測定ﾓｰﾄﾞ:	波長ｽｷｬﾝ
ﾃﾞｰﾀﾓｰﾄﾞ:	%T
開始波長:	550.00 nm
終了波長:	500.00 nm
ｽｷｬﾝｽﾋﾟｰﾄﾞ:	60 nm/min
ｻﾝﾌﾟﾘﾝｸﾞ間隔:	0.10 nm
初期待ち時間:	0 s
繰り返し周期:	0.0 min
測定回数:	1
測定前ｵｰﾄｾﾞﾛ:	Off
ｽﾘｯﾄ:	0.5 nm
ﾎﾄﾏﾙ電圧:	自動制御
光源切換ﾓｰﾄﾞ:	自動切換
光源切換波長:	340.00 nm
ﾍﾞｰｽﾗｲﾝ設定:	ﾕｰｻﾞ 1
高分解能測定:	Off
D2ﾗﾝﾌﾟ:	On
WIﾗﾝﾌﾟ:	On
R/S反転:	Off
ｾﾙ長:	10.0 mm

ﾋﾟｰｸ検出
検出方法:	Rectangular
感度:	1
しきい値:	0.0100

ﾋﾟｰｸ
ﾋﾟｰｸ No.	開始 (nm)	ﾋﾟｰｸ (nm)	終了 (nm)	高さ (%T)	ﾊﾞﾚｰ (nm)	ﾊﾞﾚｰ (%T)
1	550.00	547.30	547.00	56.306	547.00	56.475
2	547.00	544.60	544.20	55.463	544.20	55.575
3	544.20	516.20	500.00	-0.001	500.00	0.007

ﾃﾞｰﾀﾘｽﾄ
nm	%T
550.00	56.970
549.90	56.965
549.80	56.970
549.70	56.924
549.60	56.884
549.50	56.819
549.40	56.842
549.30	56.908
549.20	56.955
549.10	56.923
549.00	56.841
548.90	56.793
548.80	56.733
548.70	56.640
548.60	56.526
548.50	56.508
548.40	56.533
548.30	56.556
548.20	56.595
548.10	56.520
548.00	56.497
547.90	56.461
547.80	56.426
547.70	56.336
547.60	56.323
547.50	56.319
547.40	56.313
547.30	56.306
547.20	56.339
547.10	56.436
547.00	56.475
546.90	56.465
546.80	56.428
546.70	56.321
546.60	56.221
546.50	56.146
546.40	56.120
546.30	56.057
546.20	56.037
546.10	56.086
546.00	56.038
545.90	55.970
545.80	55.892
545.70	55.884
545.60	55.887
545.50	55.907
545.40	55.949
545.30	55.921
545.20	55.844
545.10	55.788
545.00	55.716
544.90	55.611
544.80	55.511
544.70	55.503
544.60	55.463
544.50	55.506
544.40	55.505
544.30	55.549
544.20	55.575
544.10	55.544
544.00	55.518
543.90	55.419
543.80	55.342
543.70	55.294
543.60	55.213
543.50	55.208
543.40	55.190
543.30	55.137
543.20	55.116
543.10	55.120
543.00	55.054
542.90	55.078
542.80	55.083
542.70	55.091
542.60	55.075
542.50	55.035
542.40	54.991
542.30	54.943
542.20	54.802
542.10	54.775
542.00	54.731
541.90	54.740
541.80	54.738
541.70	54.704
541.60	54.732
541.50	54.730
541.40	54.689
541.30	54.641
541.20	54.577
541.10	54.489
541.00	54.455
540.90	54.473
540.80	54.399
540.70	54.373
540.60	54.275
540.50	54.266
540.40	54.219
540.30	54.099
540.20	54.110
540.10	54.054
540.00	54.017
539.90	54.017
539.80	54.045
539.70	54.025
539.60	54.025
539.50	54.016
539.40	53.929
539.30	53.835
539.20	53.730
539.10	53.609
539.00	53.520
538.90	53.439
538.80	53.410
538.70	53.401
538.60	53.441
538.50	53.423
538.40	53.411
538.30	53.363
538.20	53.361
538.10	53.309
538.00	53.308
537.90	53.271
537.80	53.259
537.70	53.194
537.60	53.152
537.50	53.116
537.40	53.016
537.30	52.881
537.20	52.763
537.10	52.657
537.00	52.626
536.90	52.542
536.80	52.517
536.70	52.451
536.60	52.439
536.50	52.425
536.40	52.345
536.30	52.239
536.20	52.160
536.10	52.112
536.00	52.051
535.90	51.983
535.80	51.861
535.70	51.773
535.60	51.739
535.50	51.688
535.40	51.609
535.30	51.559
535.20	51.462
535.10	51.371
535.00	51.219
534.90	51.060
534.80	50.997
534.70	50.926
534.60	50.850
534.50	50.829
534.40	50.724
534.30	50.573
534.20	50.471
534.10	50.360
534.00	50.232
533.90	50.123
533.80	50.022
533.70	49.924
533.60	49.778
533.50	49.616
533.40	49.466
533.30	49.283
533.20	49.178
533.10	49.063
533.00	48.968
532.90	48.814
532.80	48.730
532.70	48.611
532.60	48.469
532.50	48.258
532.40	48.109
532.30	47.978
532.20	47.842
532.10	47.711
532.00	47.541
531.90	47.341
531.80	47.197
531.70	46.950
531.60	46.790
531.50	46.614
531.40	46.455
531.30	46.276
531.20	46.061
531.10	45.844
531.00	45.579
530.90	45.313
530.80	45.089
530.70	44.903
530.60	44.728
530.50	44.516
530.40	44.327
530.30	44.056
530.20	43.771
530.10	43.475
530.00	43.186
529.90	42.884
529.80	42.608
529.70	42.376
529.60	42.100
529.50	41.799
529.40	41.446
529.30	41.155
529.20	40.855
529.10	40.545
529.00	40.283
528.90	39.939
528.80	39.592
528.70	39.166
528.60	38.740
528.50	38.333
528.40	37.937
528.30	37.543
528.20	37.161
528.10	36.772
528.00	36.352
527.90	35.902
527.80	35.412
527.70	34.854
527.60	34.415
527.50	33.937
527.40	33.467
527.30	32.927
527.20	32.373
527.10	31.844
527.00	31.270
526.90	30.689
526.80	30.107
526.70	29.486
526.60	28.873
526.50	28.307
526.40	27.736
526.30	27.035
526.20	26.365
526.10	25.690
526.00	25.031
525.90	24.322
525.80	23.602
525.70	22.926
525.60	22.243
525.50	21.543
525.40	20.835
525.30	20.131
525.20	19.389
525.10	18.646
525.00	17.889
524.90	17.176
524.80	16.439
524.70	15.738
524.60	15.032
524.50	14.362
524.40	13.666
524.30	12.977
524.20	12.285
524.10	11.615
524.00	10.932
523.90	10.283
523.80	9.680
523.70	9.100
523.60	8.506
523.50	7.970
523.40	7.411
523.30	6.901
523.20	6.361
523.10	5.877
523.00	5.415
522.90	4.981
522.80	4.570
522.70	4.189
522.60	3.819
522.50	3.476
522.40	3.132
522.30	2.821
522.20	2.531
522.10	2.274
522.00	2.024
521.90	1.812
521.80	1.608
521.70	1.429
521.60	1.252
521.50	1.103
521.40	0.967
521.30	0.839
521.20	0.715
521.10	0.613
521.00	0.523
520.90	0.446
520.80	0.376
520.70	0.318
520.60	0.267
520.50	0.229
520.40	0.190
520.30	0.161
520.20	0.132
520.10	0.107
520.00	0.086
519.90	0.067
519.80	0.054
519.70	0.043
519.60	0.032
519.50	0.027
519.40	0.026
519.30	0.022
519.20	0.016
519.10	0.011
519.00	0.009
518.90	0.006
518.80	0.004
518.70	0.003
518.60	0.004
518.50	0.002
518.40	0.004
518.30	0.005
518.20	0.006
518.10	0.009
518.00	0.009
517.90	0.008
517.80	0.007
517.70	0.007
517.60	0.005
517.50	0.003
517.40	0.003
517.30	0.002
517.20	0.002
517.10	0.001
517.00	0.001
516.90	0.002
516.80	0.004
516.70	0.005
516.60	0.005
516.50	0.002
516.40	0.000
516.30	-0.001
516.20	-0.001
516.10	0.000
516.00	0.004
515.90	0.005
515.80	0.007
515.70	0.009
515.60	0.009
515.50	0.007
515.40	0.006
515.30	0.005
515.20	0.006
515.10	0.005
515.00	0.006
514.90	0.005
514.80	0.004
514.70	0.004
514.60	0.005
514.50	0.005
514.40	0.003
514.30	0.002
514.20	0.003
514.10	0.003
514.00	0.004
513.90	0.003
513.80	0.003
