ｻﾝﾌﾟﾙ:	GaAs_920_870__01%T.txt
ﾌｧｲﾙ名:	GaAs_920_870__01%T.txt.UDS
分析日時:	'13:22:44, 09/27/2024
ｵﾍﾟﾚｰﾀ:	OB
ｺﾒﾝﾄ:	'

光度計
ﾓﾃﾞﾙ:	U-3900形分光光度計
ｼﾘｱﾙ No.:	'3004-010
ROM Ver.:	2J25300 07

装置条件
測定ﾓｰﾄﾞ:	波長ｽｷｬﾝ
ﾃﾞｰﾀﾓｰﾄﾞ:	%T
開始波長:	920.00 nm
終了波長:	870.00 nm
ｽｷｬﾝｽﾋﾟｰﾄﾞ:	60 nm/min
ｻﾝﾌﾟﾘﾝｸﾞ間隔:	0.50 nm
初期待ち時間:	0 s
繰り返し周期:	0.0 min
測定回数:	1
測定前ｵｰﾄｾﾞﾛ:	Off
ｽﾘｯﾄ:	0.1 nm
ﾎﾄﾏﾙ電圧:	自動制御
光源切換ﾓｰﾄﾞ:	自動切換
光源切換波長:	340.00 nm
ﾍﾞｰｽﾗｲﾝ設定:	ﾕｰｻﾞ 1
高分解能測定:	Off
D2ﾗﾝﾌﾟ:	On
WIﾗﾝﾌﾟ:	On
R/S反転:	Off
ｾﾙ長:	10.0 mm

ﾋﾟｰｸ検出
検出方法:	Rectangular
感度:	1
しきい値:	0.0100

ﾋﾟｰｸ
ﾋﾟｰｸ No.	開始 (nm)	ﾋﾟｰｸ (nm)	終了 (nm)	高さ (%T)	ﾊﾞﾚｰ (nm)	ﾊﾞﾚｰ (%T)
1	920.00	914.50	909.50	29.130	909.50	47.303
2	909.50	903.00	900.50	22.722	900.50	36.884
3	900.50	891.00	889.50	-7.846	889.50	7.300
4	889.50	883.50	879.00	-28.473	879.00	9.878
5	879.00	875.50	872.00	-6.466	872.00	10.727

ﾃﾞｰﾀﾘｽﾄ
nm	%T
920.00	66.178
919.50	65.309
919.00	63.699
918.50	60.451
918.00	56.412
917.50	48.062
917.00	39.408
916.50	33.504
916.00	31.079
915.50	31.970
915.00	34.983
914.50	29.130
914.00	29.250
913.50	34.835
913.00	34.743
912.50	42.974
912.00	42.728
911.50	40.072
911.00	43.126
910.50	45.052
910.00	44.229
909.50	47.303
909.00	43.686
908.50	43.100
908.00	38.676
907.50	36.621
907.00	35.066
906.50	30.894
906.00	32.534
905.50	39.338
905.00	39.120
904.50	33.213
904.00	26.435
903.50	25.683
903.00	22.722
902.50	22.964
902.00	25.951
901.50	32.767
901.00	33.738
900.50	36.884
900.00	32.061
899.50	25.733
899.00	29.268
898.50	31.336
898.00	30.882
897.50	29.972
897.00	26.830
896.50	25.765
896.00	25.528
895.50	21.518
895.00	18.572
894.50	23.464
894.00	23.318
893.50	17.860
893.00	9.230
892.50	4.271
892.00	-1.063
891.50	-2.979
891.00	-7.846
890.50	-6.036
890.00	3.594
889.50	7.300
889.00	1.943
888.50	3.594
888.00	-0.972
887.50	1.795
887.00	-1.298
886.50	-0.127
886.00	1.055
885.50	-1.665
885.00	-9.522
884.50	-18.505
884.00	-23.473
883.50	-28.473
883.00	-21.233
882.50	-11.958
882.00	-10.065
881.50	-2.111
881.00	0.756
880.50	4.780
880.00	1.231
879.50	3.427
879.00	9.878
878.50	7.020
878.00	7.293
877.50	8.390
877.00	4.176
876.50	-3.335
876.00	-4.148
875.50	-6.466
875.00	2.406
874.50	4.464
874.00	9.263
873.50	6.792
873.00	8.879
872.50	9.527
872.00	10.727
871.50	1.081
871.00	-2.490
870.50	-1.283
870.00	-6.723

