ｻﾝﾌﾟﾙ:	GaAs_920_870__1%R.txt
ﾌｧｲﾙ名:	GaAs_920_870__1%R.txt.UDS
分析日時:	'13:10:38, 09/27/2024
ｵﾍﾟﾚｰﾀ:	OB
ｺﾒﾝﾄ:	'

光度計
ﾓﾃﾞﾙ:	U-3900形分光光度計
ｼﾘｱﾙ No.:	'3004-010
ROM Ver.:	2J25300 07

装置条件
測定ﾓｰﾄﾞ:	波長ｽｷｬﾝ
ﾃﾞｰﾀﾓｰﾄﾞ:	%T
開始波長:	920.00 nm
終了波長:	870.00 nm
ｽｷｬﾝｽﾋﾟｰﾄﾞ:	60 nm/min
ｻﾝﾌﾟﾘﾝｸﾞ間隔:	0.50 nm
初期待ち時間:	0 s
繰り返し周期:	0.0 min
測定回数:	1
測定前ｵｰﾄｾﾞﾛ:	Off
ｽﾘｯﾄ:	1 nm
ﾎﾄﾏﾙ電圧:	自動制御
光源切換ﾓｰﾄﾞ:	自動切換
光源切換波長:	340.00 nm
ﾍﾞｰｽﾗｲﾝ設定:	ﾕｰｻﾞ 1
高分解能測定:	Off
D2ﾗﾝﾌﾟ:	On
WIﾗﾝﾌﾟ:	On
R/S反転:	Off
ｾﾙ長:	10.0 mm

ﾋﾟｰｸ検出
検出方法:	Rectangular
感度:	1
しきい値:	0.0100

ﾋﾟｰｸ
ﾋﾟｰｸ No.	開始 (nm)	ﾋﾟｰｸ (nm)	終了 (nm)	高さ (%T)	ﾊﾞﾚｰ (nm)	ﾊﾞﾚｰ (%T)
1	920.00	882.00	879.50	0.034	879.50	0.048
2	879.50	877.00	875.00	0.012	875.00	0.036

ﾃﾞｰﾀﾘｽﾄ
nm	%T
920.00	41.975
919.50	41.859
919.00	41.731
918.50	41.590
918.00	41.540
917.50	41.505
917.00	41.508
916.50	41.472
916.00	41.392
915.50	41.369
915.00	41.373
914.50	41.326
914.00	41.230
913.50	41.151
913.00	41.032
912.50	40.933
912.00	40.752
911.50	40.540
911.00	40.373
910.50	40.213
910.00	40.140
909.50	40.021
909.00	39.932
908.50	39.868
908.00	39.723
907.50	39.497
907.00	39.223
906.50	38.921
906.00	38.570
905.50	38.277
905.00	37.922
904.50	37.596
904.00	37.257
903.50	36.816
903.00	36.382
902.50	35.896
902.00	35.378
901.50	34.812
901.00	34.171
900.50	33.510
900.00	32.792
899.50	32.024
899.00	31.167
898.50	30.200
898.00	29.054
897.50	27.737
897.00	26.222
896.50	24.435
896.00	22.436
895.50	20.285
895.00	17.997
894.50	15.674
894.00	13.358
893.50	11.158
893.00	9.143
892.50	7.377
892.00	5.850
891.50	4.559
891.00	3.490
890.50	2.629
890.00	1.926
889.50	1.384
889.00	0.957
888.50	0.643
888.00	0.419
887.50	0.275
887.00	0.168
886.50	0.108
886.00	0.067
885.50	0.053
885.00	0.047
884.50	0.043
884.00	0.041
883.50	0.041
883.00	0.035
882.50	0.036
882.00	0.034
881.50	0.039
881.00	0.036
880.50	0.045
880.00	0.046
879.50	0.048
879.00	0.042
878.50	0.036
878.00	0.029
877.50	0.022
877.00	0.012
876.50	0.017
876.00	0.023
875.50	0.032
875.00	0.036
874.50	0.035
874.00	0.036
873.50	0.034
873.00	0.027
872.50	0.021
872.00	0.019
871.50	0.021
871.00	0.026
870.50	0.030
870.00	0.024

