モジュール,DSC,,,,,,,,
チャンネル,DSC7020,,,,,,,,
データ名,Ni_5Kpm_7.7mg_20241108,,,,,,,,
測定日時,2024/11/08 14:48:32,,,,,,,,
サンプル名,Ni,,,,,,,,
サンプル質量,7.7,mg,,,,,,,
リファレンス名,Al pan,,,,,,,,
リファレンス質量,22.9,mg,,,,,,,
温度プログラム,,Cel,Cel,Cel/min,min,s,ガス１,ガス２,ストアー
,1,317,377,5,3,0.2,On,Off,On
,2,377,317,5,3,0.2,On,Off,On
,温度プログラムモード,ランプ,,,,,,,
,冷却ユニット,全自動ガス冷却,,,,,,,
オペレータ名,伊藤,,,,,,,,
組織名,,,,,,,,,
コメント,オペレータ: 伊藤,,,,,,,,
,ガス1: N2,,,,,,,,
,パン: Al,,,,,,,,
,,,,,,,,,
,,,,,,,,,
面積,,,,,,,,,
Ni_5Kpm_7.7mg_20241108  DSC,,,,,,,,,
No.,DeltaH,,,,,,,,
,mJ/mg,,,,,,,,
1,0.406088363,,,,,,,,
2,-0.388923578,,,,,,,,
,,,,,,,,,
Time,Temp.,DSC,DDSC,,,,,,
min,Cel,uW,uW/min,,,,,,
0,313.4107971,2.627197266,-10.63110352,,,,,,
0.003333333,313.4108276,2.73651123,-10.17553711,,,,,,
0.006666667,313.4109192,2.696350098,-9.423339844,,,,,,
0.01,313.4109802,2.645507813,-9.12890625,,,,,,
0.013333333,313.4110718,2.592834473,-8.905517578,,,,,,
0.016666667,313.4111633,2.54510498,-8.126953125,,,,,,
0.02,313.4112244,2.483581543,-7.193847656,,,,,,
0.023333333,313.4112854,2.424438477,-6.443115234,,,,,,
0.026666667,313.4113464,2.404602051,-5.802978516,,,,,,
0.03,313.411438,2.431640625,-4.725585938,,,,,,
0.033333333,313.4115295,2.481567383,-2.745849609,,,,,,
0.036666667,313.4116516,2.531677246,0.139160156,,,,,,
0.04,313.4117737,2.578369141,5.595703125,,,,,,
0.043333333,313.4119263,2.606811523,11.99267578,,,,,,
0.046666667,313.4120789,2.584228516,15.51928711,,,,,,
0.05,313.412262,2.565551758,19.22900391,,,,,,
0.053333333,313.4124756,2.577331543,23.72973633,,,,,,
0.056666667,313.4126892,2.566345215,29.73852539,,,,,,
0.06,313.4129333,2.53729248,37.3125,,,,,,
0.063333333,313.413208,2.518188477,45.81884766,,,,,,
0.066666667,313.4135132,2.522033691,55.90722656,,,,,,
0.07,313.4138489,2.522033691,68.63525391,,,,,,
0.073333333,313.4142151,2.462097168,83.18115234,,,,,,
0.076666667,313.4146423,2.333496094,98.89306641,,,,,,
0.08,313.4151306,2.140014648,116.0742188,,,,,,
0.083333333,313.4156494,1.895751953,135.0461426,,,,,,
0.086666667,313.4162292,1.591674805,155.3598633,,,,,,
0.09,313.4168396,1.252685547,176.4938965,,,,,,
0.093333333,313.417572,0.867736816,199.2062988,,,,,,
0.096666667,313.4183044,0.383483887,223.5424805,,,,,,
0.1,313.4191589,-0.23626709,248.8022461,,,,,,
0.103333333,313.4200745,-0.970825195,275.6022949,,,,,,
0.106666667,313.421051,-1.789489746,304.7036133,,,,,,
0.11,313.4221191,-2.758361816,335.9992676,,,,,,
0.113333333,313.4232483,-3.881469727,368.4023438,,,,,,
0.116666667,313.4244385,-5.09185791,401.2331543,,,,,,
0.12,313.4257507,-6.407531738,434.3569336,,,,,,
0.123333333,313.4271545,-7.866760254,467.6191406,,,,,,
0.126666667,313.4286194,-9.484130859,501.0593262,,,,,,
0.13,313.4301758,-11.23236084,535.0231934,,,,,,
0.133333333,313.4318542,-13.06793213,570.1098633,,,,,,
0.136666667,313.4336243,-15.02563477,605.8088379,,,,,,
0.14,313.4354858,-17.10394287,640.7893066,,,,,,
0.143333333,313.437439,-19.29187012,674.6257324,,,,,,
0.146666667,313.4395142,-21.63525391,708.1940918,,,,,,
0.15,313.4416504,-24.15606689,741.3288574,,,,,,
0.153333333,313.4438782,-26.82189941,773.0588379,,,,,,
0.156666667,313.446228,-29.60229492,803.8857422,,,,,,
0.16,313.4487,-32.48083496,834.7185059,,,,,,
0.163333333,313.4512939,-35.4407959,865.0795898,,,,,,
0.166666667,313.4539795,-38.46343994,893.9765625,,,,,,
0.17,313.4567871,-41.5690918,920.887207,,,,,,
0.173333333,313.4596863,-44.78253174,947.0712891,,,,,,
0.176666667,313.4627075,-48.12939453,973.0854492,,,,,,
0.18,313.4658508,-51.57122803,998.1276855,,,,,,
0.183333333,313.4691162,-55.05328369,1022.145264,,,,,,
0.186666667,313.4725037,-58.5880127,1044.848145,,,,,,
0.19,313.4760132,-62.19714355,1065.500977,,,,,,
0.193333333,313.4796143,-65.87353516,1084.387939,,,,,,
0.196666667,313.4833679,-69.58978271,1101.825439,,,,,,
