モジュール,DSC,,,,,,,,
チャンネル,DSC7020,,,,,,,,
データ名,BTO_5Kpm_9mg_20241115_2,,,,,,,,
測定日時,2024/11/15 15:21:14,,,,,,,,
サンプル名,BTO,,,,,,,,
サンプル質量,9,mg,,,,,,,
リファレンス名,Al pan,,,,,,,,
リファレンス質量,22.9,mg,,,,,,,
温度プログラム,,Cel,Cel,Cel/min,min,s,ガス１,ガス２,ストアー
,1,107,147,5,3,0.2,On,Off,On
,2,147,107,5,5,0.2,On,Off,On
,温度プログラムモード,ランプ,,,,,,,
,冷却ユニット,全自動ガス冷却,,,,,,,
オペレータ名,伊藤,,,,,,,,
組織名,,,,,,,,,
コメント,オペレータ: 伊藤,,,,,,,,
,ガス1: N2,,,,,,,,
,パン: Al,,,,,,,,
,,,,,,,,,
,,,,,,,,,
面積,,,,,,,,,
BTO_5Kpm_9mg_20241115_2  DSC,,,,,,,,,
No.,DeltaH,,,,,,,,
,mJ/mg,,,,,,,,
1,-0.970383861,,,,,,,,
2,0.840006949,,,,,,,,
,,,,,,,,,
Time,Temp.,DSC,DDSC,,,,,,
min,Cel,uW,uW/min,,,,,,
0,103.9064255,-0.418243408,15.62438965,,,,,,
0.003333333,103.9056473,-0.488113403,16.51757813,,,,,,
0.006666667,103.9048996,-0.54548645,17.2064209,,,,,,
0.01,103.9041443,-0.59942627,17.90441895,,,,,,
0.013333333,103.9033661,-0.665100098,18.70385742,,,,,,
0.016666667,103.9026184,-0.740905762,19.55712891,,,,,,
0.02,103.9018707,-0.827774048,20.44812012,,,,,,
0.023333333,103.9010925,-0.872802734,21.60333252,,,,,,
0.026666667,103.9003448,-0.905395508,23.17694092,,,,,,
0.03,103.8995667,-0.922103882,24.92047119,,,,,,
0.033333333,103.8987885,-0.983154297,26.67132568,,,,,,
0.036666667,103.8980408,-1.059204102,28.39050293,,,,,,
0.04,103.8973236,-1.1434021,30.30065918,,,,,,
0.043333333,103.8965454,-1.237747192,32.45782471,,,,,,
0.046666667,103.8958282,-1.324737549,35.26794434,,,,,,
0.05,103.8950729,-1.397766113,38.88061523,,,,,,
0.053333333,103.8943558,-1.484909058,42.7166748,,,,,,
0.056666667,103.8936386,-1.596069336,46.72027588,,,,,,
0.06,103.892952,-1.714416504,51.03076172,,,,,,
0.063333333,103.8922653,-1.843780518,55.9185791,,,,,,
0.066666667,103.8916016,-2.009307861,61.44854736,,,,,,
0.07,103.8909454,-2.194763184,67.71917725,,,,,,
0.073333333,103.8903427,-2.390792847,74.65960693,,,,,,
0.076666667,103.8897781,-2.592208862,81.41290283,,,,,,
0.08,103.8892059,-2.798294067,88.68621826,,,,,,
0.083333333,103.8887024,-3.029815674,96.32244873,,,,,,
0.086666667,103.8881912,-3.300003052,104.2049561,,,,,,
0.09,103.8877411,-3.629989624,112.9771729,,,,,,
0.093333333,103.887291,-3.998306274,122.9723511,,,,,,
0.096666667,103.8869019,-4.389053345,133.5459595,,,,,,
0.1,103.8865128,-4.810302734,144.2752075,,,,,,
0.103333333,103.8862152,-5.269836426,155.5420532,,,,,,
0.106666667,103.8859177,-5.758361816,167.2130127,,,,,,
0.11,103.8856735,-6.277099609,178.925354,,,,,,
0.113333333,103.8854675,-6.856552124,191.0689087,,,,,,
0.116666667,103.8853149,-7.481124878,203.757019,,,,,,
0.12,103.8852539,-8.141265869,217.1050415,,,,,,
0.123333333,103.8851929,-8.850097656,231.0115356,,,,,,
0.126666667,103.8852234,-9.588378906,245.1392212,,,,,,
0.13,103.8852844,-10.36071777,258.9265137,,,,,,
0.133333333,103.8854065,-11.21841431,272.1956177,,,,,,
0.136666667,103.885582,-12.17141724,285.6221924,,,,,,
0.14,103.8858261,-13.16874695,299.3497925,,,,,,
0.143333333,103.8861237,-14.19992065,313.1929321,,,,,,
0.146666667,103.8864822,-15.29096985,327.3861694,,,,,,
0.15,103.8869324,-16.43005371,341.9974365,,,,,,
0.153333333,103.8874435,-17.60498047,356.6608887,,,,,,
0.156666667,103.8879776,-18.83624268,370.9432983,,,,,,
0.16,103.8886108,-20.12051392,385.2182007,,,,,,
0.163333333,103.8892975,-21.4659729,399.6335449,,,,,,
0.166666667,103.8900452,-22.8691864,414.2850952,,,,,,
0.17,103.8908844,-24.30970764,429.397522,,,,,,
0.173333333,103.8917847,-25.76203918,443.9655762,,,,,,
0.176666667,103.8927689,-27.23674011,457.2540894,,,,,,
0.18,103.8938522,-28.76107788,469.9381714,,,,,,
0.183333333,103.8949585,-30.33128357,482.8491211,,,,,,
0.186666667,103.8961563,-31.95556641,495.7322388,,,,,,
0.19,103.897438,-33.64602661,508.2390747,,,,,,
0.193333333,103.898819,-35.39067078,520.6882324,,,,,,
0.196666667,103.9002838,-37.17655945,532.8966064,,,,,,
