モジュール,DSC,,,,,,,,
チャンネル,DSC7020,,,,,,,,
データ名,TGS_5Kpm_9.2mg_20241115,,,,,,,,
測定日時,2024/11/15 14:19:48,,,,,,,,
サンプル名,TGS,,,,,,,,
サンプル質量,9.2,mg,,,,,,,
リファレンス名,Al pan,,,,,,,,
リファレンス質量,22.9,mg,,,,,,,
温度プログラム,,Cel,Cel,Cel/min,min,s,ガス１,ガス２,ストアー
,1,-13,72,5,3,0.2,On,Off,On
,2,72,-13,5,5,0.2,On,Off,On
,温度プログラムモード,ランプ,,,,,,,
,冷却ユニット,全自動ガス冷却,,,,,,,
オペレータ名,伊藤,,,,,,,,
組織名,,,,,,,,,
コメント,オペレータ: 伊藤,,,,,,,,
,ガス1: N2,,,,,,,,
,パン: Al,,,,,,,,
,,,,,,,,,
,,,,,,,,,
面積,,,,,,,,,
TGS_5Kpm_9.2mg_20241115  DSC,,,,,,,,,
No.,DeltaH,,,,,,,,
,mJ/mg,,,,,,,,
1,-1.266645444,,,,,,,,
2,1.004942504,,,,,,,,
,,,,,,,,,
Time,Temp.,DSC,DDSC,,,,,,
min,Cel,uW,uW/min,,,,,,
0,-15.70708466,23.08276367,-193.6186523,,,,,,
0.003333333,-15.70558643,23.75809479,-191.7286377,,,,,,
0.006666667,-15.70412064,24.41261292,-189.7197876,,,,,,
0.01,-15.70265484,25.04557037,-187.5981445,,,,,,
0.013333333,-15.70120525,25.67453003,-185.1763,,,,,,
0.016666667,-15.69977188,26.32290649,-182.5424194,,,,,,
0.02,-15.69836998,26.9787674,-179.7914429,,,,,,
0.023333333,-15.69698334,27.60757446,-176.7436523,,,,,,
0.026666667,-15.69558144,28.21733093,-173.0422668,,,,,,
0.03,-15.69421196,28.81616211,-168.3640137,,,,,,
0.033333333,-15.69284153,29.39174652,-162.6740112,,,,,,
0.036666667,-15.6914711,29.95739746,-156.0222473,,,,,,
0.04,-15.69011688,30.51496124,-148.8314209,,,,,,
0.043333333,-15.68873119,31.05242157,-141.2841797,,,,,,
0.046666667,-15.68736076,31.56363678,-133.4967957,,,,,,
0.05,-15.68595886,32.05535889,-125.4258728,,,,,,
0.053333333,-15.68460464,32.52345276,-116.9464417,,,,,,
0.056666667,-15.68323421,32.9707489,-107.5404053,,,,,,
0.06,-15.68184853,33.41178131,-96.99362183,,,,,,
0.063333333,-15.68046284,33.83798981,-85.85458374,,,,,,
0.066666667,-15.67907619,34.21533966,-74.293396,,,,,,
0.07,-15.67769051,34.52169037,-61.88955688,,,,,,
0.073333333,-15.6762886,34.76350403,-48.57705688,,,,,,
0.076666667,-15.6748867,34.95834351,-34.62945557,,,,,,
0.08,-15.67346859,35.09859467,-19.84112549,,,,,,
0.083333333,-15.67203426,35.1741333,-4.368164063,,,,,,
0.086666667,-15.67058468,35.20996857,11.69998169,,,,,,
0.09,-15.66910362,35.20409393,28.29006958,,,,,,
0.093333333,-15.66762161,35.15065002,45.40731812,,,,,,
0.096666667,-15.66612434,35.04087067,63.12936401,,,,,,
0.1,-15.66461086,34.85461426,81.78469849,,,,,,
0.103333333,-15.66306496,34.60120392,101.5906677,,,,,,
0.106666667,-15.66147232,34.28633881,122.1512146,,,,,,
0.11,-15.65983105,33.90271759,142.8456116,,,,,,
0.113333333,-15.65818977,33.42584991,163.5672913,,,,,,
0.116666667,-15.65646935,32.86643219,184.505127,,,,,,
0.12,-15.6547327,32.23556519,205.6984863,,,,,,
0.123333333,-15.65296459,31.52989197,227.058197,,,,,,
0.126666667,-15.65114784,30.75297546,248.8863831,,,,,,
0.13,-15.64928436,29.90236664,271.4468994,,,,,,
0.133333333,-15.64740467,28.99063873,294.321167,,,,,,
0.136666667,-15.64546013,28.00816345,317.5455322,,,,,,
0.14,-15.64348507,26.94480896,340.976532,,,,,,
0.143333333,-15.64147758,25.78210449,364.411377,,,,,,
0.146666667,-15.63942242,24.51959229,388.0927734,,,,,,
0.15,-15.63730335,23.17347717,411.9699097,,,,,,
0.153333333,-15.63515282,21.75566864,435.8597717,,,,,,
0.156666667,-15.63292217,20.26359558,459.5551758,,,,,,
0.16,-15.63066006,18.70175934,483.2879333,,,,,,
0.163333333,-15.62833405,17.0693512,507.0575867,,,,,,
0.166666667,-15.62592793,15.3507843,530.8886719,,,,,,
0.17,-15.62349033,13.53533936,554.4945068,,,,,,
0.173333333,-15.6209898,11.63244629,577.9521484,,,,,,
0.176666667,-15.61844063,9.660919189,601.6639404,,,,,,
0.18,-15.61577988,7.601806641,625.3182373,,,,,,
0.183333333,-15.61305523,5.465270996,648.597168,,,,,,
0.186666667,-15.6102829,3.249313354,671.2946777,,,,,,
0.19,-15.60744762,0.95211792,693.6472778,,,,,,
0.193333333,-15.6045475,-1.425292969,716.0322266,,,,,,
