angle (deg),none,lambda/4,linear_0,linear_45,circular,circular_1,circular_2,circular_3
,,,,,9.6,24.6,39.6,54.6
0,564,525,315,138,342,283,212,154
10,568,526,300,80.9,333,250,178,145
20,560,528,265,36,300,205,143,140
30,554,532,215,6.26,250,156,112,138
40,547,535,160,-5,190,102,85,137
50,542,537,103,3.8,129,60.2,67.7,137
60,536,540,54.5,32,75,26.2,62.7,140
70,537,544,17.2,76.1,31.5,3.47,70.3,148
80,530,550,-2.52,131,4.43,11,89.9,155
90,528,555,-3.16,190,-3.72,30.5,117,162
100,530,552,16.4,248,7.99,66.2,151,171
110,540,554,52.7,295,37.6,113,184,179
120,548,560,102,325,82.7,167,219,181
130,557,554,163,335,136,220,244,182
140,558,544,221,324,191,264,262,180
150,560,532,275,295,243,293,265,180
160,560,521,312,249,280,306,257,176
170,558,513,340,194,307,303,237,170
180,555,511,339,135,315,281,205,162
190,546,515,317,79,300,247,174,159
200,543,525,278,33.7,272,200,141,152
210,541,524,225,5.6,230,149,107,147
220,540,526,168,-4.9,175,98.5,81.4,145
230,542,532,111,4.5,120,55.4,66,145
240,543,540,57.5,32.1,69,24.9,60.1,148
250,547,542,18.3,77,29.3,9.22,67.3,153
260,550,537,-2,129,4.05,10.1,84.5,158
270,547,534,-3.26,190,-4.1,28.5,111,166
280,550,527,15.7,246,6.8,64.2,144,172
290,554,524,52,290,35.1,107,176,176
300,560,523,104,322,76.8,164,209,183
310,557,530,160,335,131,214,233,185
320,553,535,220,322,183,259,245,183
330,547,539,271,295,236,292,250,181
340,535,542,312,251,277,310,244,176
350,527,540,331,194,302,311,226,170
360,520,542,337,140,313,293,203,164
